msoa11cd,ladnm,Ring,Wealth_Decile_National,Typ_A_11,Typ_C_11,Casc_Inflow_Share_11,Ext_Arm_Share_11,leaf_11,Typ_A_21,Typ_C_21,Casc_Inflow_Share_21,Ext_Arm_Share_21,leaf_21,Genuine_Persistent
E02000229,Croydon,Outer,1,Cascade-led,Symmetric,1.0,0.0,,Symmetric,Counter-led,1.0,0.0,,False
E02000230,Croydon,Outer,6,Symmetric,Lateral,0.4685430463576159,0.0,,Counter-led,Lateral,0.4068441064638783,0.0,,False
E02000231,Croydon,Outer,9,Counter-led,Symmetric,0.0436893203883495,0.4890016920473773,,Counter-led,Cascade-led,0.0684563758389261,0.5172910662824207,outflow: external-majority,False
E02000232,Croydon,Outer,7,Counter-led,Symmetric,0.1289537712895377,0.6368715083798883,,Counter-led,Cascade-led,0.1514423076923076,0.7535410764872521,outflow: external-majority,False
E02000233,Croydon,Outer,5,Counter-led,Counter-led,0.7523584905660378,0.0,,Counter-led,Counter-led,0.7537537537537538,0.0,,False
E02000234,Croydon,Outer,6,Counter-led,Lateral,0.5244755244755245,0.0,,Counter-led,Lateral,0.550561797752809,0.0,,False
E02000235,Croydon,Outer,7,Counter-led,Cascade-led,0.1036468330134357,0.6274089935760171,outflow: external-majority,Counter-led,Cascade-led,0.1321499013806706,0.7136363636363636,outflow: external-majority,False
E02000236,Croydon,Outer,8,Counter-led,Cascade-led,0.0529801324503311,0.585081585081585,outflow: external-majority,Counter-led,Symmetric,0.0843806104129264,0.6607843137254902,,False
E02000237,Croydon,Outer,8,Counter-led,Symmetric,0.0407239819004524,0.6627358490566038,,Counter-led,Cascade-led,0.031578947368421,0.7239130434782609,outflow: external-majority,False
E02000238,Ealing,Outer,5,Counter-led,Counter-led,0.3765625,0.0,,Symmetric,Counter-led,0.4512195121951219,0.0,,False
E02000239,Ealing,Outer,7,Symmetric,Cascade-led,0.0637450199203187,0.25673758865248225,outflow: internal-majority,Symmetric,Cascade-led,0.0403321470937129,0.32756489493201485,outflow: internal-majority,False
E02000240,Ealing,Outer,2,Symmetric,Counter-led,0.931758530183727,0.0,,Cascade-led,Counter-led,0.8954041204437401,0.0,,False
E02000241,Ealing,Outer,5,Counter-led,Counter-led,0.3465783664459161,0.0,,Counter-led,Counter-led,0.4649122807017544,0.0,,False
E02000242,Ealing,Outer,6,Cascade-led,Lateral,0.0912863070539419,0.0,,Cascade-led,Lateral,0.0748129675810473,0.0,,False
E02000243,Ealing,Outer,4,Counter-led,Counter-led,0.5924812030075188,0.0,,Counter-led,Counter-led,0.5654761904761905,0.0,,False
E02000244,Ealing,Outer,6,Symmetric,Lateral,0.0835073068893528,0.0,,Symmetric,Lateral,0.0974025974025974,0.0,,False
E02000245,Ealing,Outer,1,Symmetric,Counter-led,1.0,0.0,,Cascade-led,Symmetric,1.0,0.0,,False
E02000246,Ealing,Outer,2,Symmetric,Counter-led,0.9088,0.0,,Symmetric,Counter-led,0.8925143953934741,0.0,,False
E02000247,Ealing,Outer,3,Cascade-led,Symmetric,0.7381864623243933,0.0,,Symmetric,Counter-led,0.7333333333333333,0.0,,False
E02000248,Ealing,Outer,6,Symmetric,Lateral,0.136094674556213,0.0,,Cascade-led,Lateral,0.1448170731707317,0.0,,False
E02000249,Ealing,Outer,3,Cascade-led,Symmetric,0.7461669505962522,0.0,,Symmetric,Counter-led,0.7868131868131868,0.0,,False
E02000250,Ealing,Outer,9,Symmetric,Cascade-led,0.0057224606580829,0.2446043165467626,outflow: internal-majority,Symmetric,Cascade-led,0.0,0.3582554517133956,outflow: internal-majority,False
E02000251,Ealing,Outer,5,Symmetric,Counter-led,0.2306122448979591,0.0,,Counter-led,Counter-led,0.2574850299401197,0.0,,False
E02000252,Ealing,Outer,3,Symmetric,Symmetric,0.7095141700404858,0.0,,Counter-led,Cascade-led,0.7692622950819672,0.0,frame-sensitive inflow,False
E02000253,Ealing,Outer,3,Symmetric,Symmetric,0.7263843648208469,0.0,,Counter-led,Counter-led,0.7475915221579962,0.0,,False
E02000254,Ealing,Outer,4,Cascade-led,Counter-led,0.3304347826086956,0.0,,Symmetric,Counter-led,0.3528183716075156,0.0,,False
E02000255,Ealing,Outer,4,Counter-led,Counter-led,0.6203995793901157,0.0,,Symmetric,Counter-led,0.6554959785522788,0.0,,False
E02000256,Ealing,Outer,6,Symmetric,Lateral,0.2252155172413793,0.0,,Symmetric,Lateral,0.189010989010989,0.0,,False
E02000257,Ealing,Outer,5,Counter-led,Symmetric,0.6085011185682326,0.0,,Counter-led,Counter-led,0.4951923076923077,0.0,,False
E02000258,Ealing,Outer,5,Symmetric,Symmetric,0.4521625163826999,0.0,,Symmetric,Counter-led,0.3652430044182621,0.0,,False
E02000259,Ealing,Outer,6,Symmetric,Lateral,0.1295896328293736,0.0,,Cascade-led,Lateral,0.0889830508474576,0.0,,False
E02000260,Ealing,Outer,3,Counter-led,Lateral,0.6864988558352403,0.0,,Counter-led,Lateral,0.6247139588100686,0.0,,False
E02000261,Ealing,Outer,3,Counter-led,Symmetric,0.7509328358208955,0.0,,Symmetric,Counter-led,0.6429130775254502,0.0,,False
E02000262,Ealing,Outer,3,Counter-led,Counter-led,0.8059244126659857,0.0,,Symmetric,Counter-led,0.7048371174728529,0.0,,False
E02000263,Ealing,Outer,3,Counter-led,Lateral,0.599644128113879,0.0,,Counter-led,Lateral,0.5588235294117647,0.0,,False
E02000264,Ealing,Outer,5,Counter-led,Symmetric,0.5391476709613479,0.0,,Symmetric,Counter-led,0.4796594134342479,0.0,,False
E02000265,Ealing,Outer,3,Symmetric,Symmetric,0.8272,0.0,,Symmetric,Counter-led,0.8299559471365638,0.0,,False
E02000266,Ealing,Outer,1,Counter-led,Counter-led,1.0,0.0,,Cascade-led,Counter-led,1.0,0.0,,False
E02000267,Ealing,Outer,4,Counter-led,Counter-led,0.6065573770491803,0.0,,Symmetric,Counter-led,0.6358792184724689,0.0,,False
E02000268,Ealing,Outer,5,Symmetric,Symmetric,0.5090218423551757,0.0,,Lateral,Counter-led,0.4912891986062718,0.0,,False
E02000269,Ealing,Outer,8,Counter-led,Counter-led,0.0227920227920227,0.31875607385811466,,Counter-led,Cascade-led,0.0177736202057998,0.37523809523809526,outflow: internal-majority,False
E02000270,Ealing,Outer,2,Counter-led,Counter-led,0.9286563614744352,0.0,,Symmetric,Symmetric,0.9325842696629212,0.0,,False
E02000271,Ealing,Outer,7,Symmetric,Symmetric,0.0498891352549889,0.2718786464410735,,Counter-led,Cascade-led,0.0467391304347826,0.3945267958950969,outflow: internal-majority,False
E02000272,Ealing,Outer,8,Counter-led,Cascade-led,0.0226586102719033,0.35239567233384855,outflow: internal-majority,Cascade-led,Cascade-led,0.0145631067961165,0.3760262725779967,outflow: internal-majority,False
E02000274,Ealing,Outer,3,Counter-led,Counter-led,0.540436456996149,0.0,,Counter-led,Counter-led,0.507537688442211,0.0,,False
E02000275,Ealing,Outer,2,Symmetric,Counter-led,0.904424778761062,0.0,,Counter-led,Counter-led,0.8692449355432781,0.0,,False
E02000276,Ealing,Outer,6,Counter-led,Lateral,0.1729559748427672,0.0,,Symmetric,Lateral,0.2126537785588752,0.0,,False
E02000277,Enfield,Outer,4,Counter-led,Counter-led,0.4084821428571428,0.0,,Counter-led,Counter-led,0.369304556354916,0.0,,False
E02000278,Enfield,Outer,2,Symmetric,Counter-led,0.8114901256732495,0.0,,Symmetric,Counter-led,0.7784946236559139,0.0,,False
E02000279,Enfield,Outer,3,Counter-led,Counter-led,0.6357868020304569,0.0,,Counter-led,Counter-led,0.5745454545454546,0.0,,False
E02000280,Enfield,Outer,5,Symmetric,Counter-led,0.6045197740112994,0.0,,Counter-led,Counter-led,0.626984126984127,0.0,,False
E02000281,Enfield,Outer,3,Symmetric,Counter-led,0.7282051282051282,0.0,,Symmetric,Counter-led,0.6604095563139932,0.0,,False
E02000282,Enfield,Outer,1,Cascade-led,Symmetric,1.0,0.0,,Lateral,Counter-led,1.0,0.0,,False
E02000283,Enfield,Outer,3,Counter-led,Counter-led,0.4258823529411765,0.0,,Symmetric,Counter-led,0.4730392156862745,0.0,,False
E02000284,Enfield,Outer,6,Counter-led,Lateral,0.2038369304556355,0.0,,Counter-led,Lateral,0.2645011600928074,0.0,,False
E02000285,Enfield,Outer,8,Counter-led,Cascade-led,0.0179372197309417,0.4840182648401826,outflow: internal-majority,Counter-led,Cascade-led,0.0233050847457627,0.527114967462039,outflow: external-majority,False
E02000286,Enfield,Outer,6,Counter-led,Lateral,0.3344768439108062,0.0,,Counter-led,Lateral,0.36,0.0,,False
E02000287,Enfield,Outer,8,Cascade-led,Symmetric,0.0895953757225433,0.38571428571428573,,Symmetric,Cascade-led,0.1353996737357259,0.46226415094339623,outflow: internal-majority,False
E02000288,Enfield,Outer,2,Symmetric,Counter-led,0.8685082872928177,0.0,,Counter-led,Counter-led,0.8386605783866058,0.0,,False
E02000289,Enfield,Outer,9,Counter-led,Cascade-led,0.0024330900243309,0.47317073170731705,outflow: internal-majority,Counter-led,Cascade-led,0.0042826552462526,0.5526881720430108,outflow: external-majority,False
E02000290,Enfield,Outer,2,Symmetric,Lateral,0.7483870967741936,0.0,,Counter-led,Counter-led,0.8201634877384196,0.0,,False
E02000291,Enfield,Outer,4,Symmetric,Counter-led,0.6374871266735325,0.0,,Symmetric,Counter-led,0.5669398907103825,0.0,,False
E02000292,Enfield,Outer,5,Counter-led,Counter-led,0.3572649572649573,0.0,,Counter-led,Counter-led,0.391304347826087,0.0,,False
E02000293,Enfield,Outer,9,Counter-led,Symmetric,0.0,0.3839479392624729,,Symmetric,Cascade-led,0.0060362173038229,0.44129554655870445,outflow: internal-majority,False
E02000294,Enfield,Outer,3,Counter-led,Counter-led,0.4718614718614718,0.0,,Counter-led,Counter-led,0.4688057040998217,0.0,,False
E02000295,Enfield,Outer,8,Counter-led,Symmetric,0.1206657420249653,0.34069400630914826,,Counter-led,Symmetric,0.0692194403534609,0.4161392405063291,,False
E02000296,Enfield,Outer,5,Counter-led,Counter-led,0.6670378619153675,0.0,,Counter-led,Counter-led,0.582089552238806,0.0,,False
E02000297,Enfield,Outer,8,Symmetric,Cascade-led,0.0817790530846484,0.39375,outflow: internal-majority,Symmetric,Cascade-led,0.0358620689655172,0.5293276108726752,outflow: external-majority,False
E02000298,Enfield,Outer,8,Symmetric,Cascade-led,0.1410788381742738,0.4138486312399356,outflow: internal-majority,Symmetric,Cascade-led,0.1079881656804733,0.46102819237147596,outflow: internal-majority,False
E02000299,Enfield,Outer,2,Counter-led,Counter-led,0.7164804469273743,0.0,,Counter-led,Counter-led,0.581532416502947,0.0,,False
E02000300,Enfield,Outer,3,Counter-led,Counter-led,0.3506139154160982,0.0,,Symmetric,Counter-led,0.4176372712146423,0.0,,False
E02000301,Enfield,Outer,2,Counter-led,Lateral,0.668918918918919,0.0,,Counter-led,Counter-led,0.6401590457256461,0.0,,False
E02000302,Enfield,Outer,5,Counter-led,Counter-led,0.4341085271317829,0.0,,Symmetric,Counter-led,0.4175588865096359,0.0,,False
E02000303,Enfield,Outer,2,Symmetric,Counter-led,0.6273972602739726,0.0,,Counter-led,Counter-led,0.6820083682008368,0.0,,False
E02000304,Enfield,Outer,9,Counter-led,Symmetric,0.0015625,0.2676056338028169,,Counter-led,Cascade-led,0.0,0.3536,outflow: internal-majority,False
E02000305,Enfield,Outer,5,Counter-led,Counter-led,0.5298102981029811,0.0,,Counter-led,Counter-led,0.4034188034188034,0.0,,False
E02000306,Enfield,Outer,1,Lateral,Counter-led,1.0,0.0,,Lateral,Counter-led,1.0,0.0,,False
E02000307,Enfield,Outer,3,Counter-led,Counter-led,0.4475308641975308,0.0,,Counter-led,Counter-led,0.4177215189873418,0.0,,False
E02000308,Enfield,Outer,4,Counter-led,Counter-led,0.495049504950495,0.0,,Counter-led,Counter-led,0.5698587127158555,0.0,,False
E02000309,Enfield,Outer,1,Lateral,Counter-led,1.0,0.0,,Lateral,Counter-led,1.0,0.0,,False
E02000311,Enfield,Outer,3,Symmetric,Symmetric,0.5331882480957563,0.0,,Counter-led,Counter-led,0.5767575322812052,0.0,,False
E02000312,Enfield,Outer,4,Symmetric,Symmetric,0.5081734186211798,0.0,,Counter-led,Counter-led,0.4334677419354839,0.0,,False
E02000313,Greenwich,Inner,1,Cascade-led,Symmetric,1.0,0.0,,Counter-led,Counter-led,1.0,0.0,,False
E02000314,Greenwich,Inner,3,Symmetric,Symmetric,0.4845201238390093,0.0,,Counter-led,Counter-led,0.504364694471387,0.0,,False
E02000315,Greenwich,Inner,1,Counter-led,Counter-led,1.0,0.0,,Counter-led,Counter-led,1.0,0.0,,False
E02000316,Greenwich,Inner,1,Lateral,Cascade-led,1.0,0.0,frame-sensitive inflow,Lateral,Counter-led,1.0,0.0,,False
E02000317,Greenwich,Inner,1,Lateral,Counter-led,1.0,0.0,,Lateral,Counter-led,1.0,0.0,,False
E02000318,Greenwich,Inner,2,Symmetric,Symmetric,0.5876168224299065,0.0,,Counter-led,Counter-led,0.6383928571428571,0.0,,False
E02000319,Greenwich,Inner,2,Symmetric,Symmetric,0.6773888363292336,0.0,,Counter-led,Counter-led,0.6947040498442367,0.0,,False
E02000320,Greenwich,Inner,3,Counter-led,Counter-led,0.4060150375939849,0.0,,Symmetric,Counter-led,0.5294117647058824,0.0,,False
