msoa21cd,canonical_msoa11,relation
E02000674,E02000674,unchanged
E02000675,E02000675,unchanged
E02000676,E02000676,unchanged
E02000677,E02000677,unchanged
E02000678,E02000678,unchanged
E02000679,E02000679,unchanged
E02000680,E02000680,unchanged
E02000681,E02000681,unchanged
E02000682,E02000682,unchanged
E02000683,E02000683,unchanged
E02000685,E02000685,unchanged
E02000686,E02000686,unchanged
E02000687,E02000687,unchanged
E02000689,E02000689,unchanged
E02000690,E02000690,unchanged
E02000691,E02000691,unchanged
E02000692,E02000692,unchanged
E02000693,E02000693,unchanged
E02000694,E02000694,unchanged
E02000695,E02000695,unchanged
E02000696,E02000696,unchanged
E02000697,E02000697,unchanged
E02000698,E02000698,unchanged
E02000699,E02000699,unchanged
E02000700,E02000700,unchanged
E02000701,E02000701,unchanged
E02000702,E02000702,unchanged
E02000703,E02000703,unchanged
E02000704,E02000704,unchanged
E02000705,E02000705,unchanged
E02000706,E02000706,unchanged
E02000707,E02000707,unchanged
E02000708,E02000708,unchanged
E02000709,E02000709,unchanged
E02000710,E02000710,unchanged
E02000711,E02000711,unchanged
E02000712,E02000712,unchanged
E02000713,E02000713,unchanged
E02000714,E02000714,unchanged
E02000715,E02000715,unchanged
E02000716,E02000716,unchanged
E02000717,E02000717,unchanged
E02000718,E02000718,unchanged
E02000719,E02000719,unchanged
E02000720,E02000720,unchanged
E02000721,E02000721,unchanged
E02000722,E02000722,unchanged
E02000723,E02000723,unchanged
E02000724,E02000724,unchanged
E02000725,E02000725,unchanged
E02000727,E02000727,unchanged
E02000728,E02000728,unchanged
E02000729,E02000729,unchanged
E02000730,E02000730,unchanged
E02000731,E02000731,unchanged
E02000732,E02000732,unchanged
E02000733,E02000733,unchanged
E02000734,E02000734,unchanged
E02000735,E02000735,unchanged
E02000736,E02000736,unchanged
E02000737,E02000737,unchanged
E02000738,E02000738,unchanged
E02000739,E02000739,unchanged
E02000740,E02000740,unchanged
E02000741,E02000741,unchanged
E02000742,E02000742,unchanged
E02000743,E02000743,unchanged
E02000744,E02000744,unchanged
E02000745,E02000745,unchanged
E02000746,E02000746,unchanged
E02000747,E02000747,unchanged
E02000748,E02000748,unchanged
E02000749,E02000749,unchanged
E02000751,E02000751,unchanged
E02000752,E02000752,unchanged
E02000753,E02000753,unchanged
E02000754,E02000754,unchanged
E02000755,E02000755,unchanged
E02000756,E02000756,unchanged
E02000757,E02000757,unchanged
E02000758,E02000758,unchanged
E02000759,E02000759,unchanged
E02000760,E02000760,unchanged
E02000762,E02000762,unchanged
E02000763,E02000763,unchanged
E02000764,E02000764,unchanged
E02000765,E02000765,unchanged
E02000767,E02000767,unchanged
E02000768,E02000768,unchanged
E02000770,E02000770,unchanged
E02000772,E02000772,unchanged
E02000773,E02000773,unchanged
E02000774,E02000774,unchanged
E02000776,E02000776,unchanged
E02000777,E02000777,unchanged
E02000779,E02000779,unchanged
E02000781,E02000781,unchanged
E02000782,E02000782,unchanged
E02000783,E02000783,unchanged
E02000784,E02000784,unchanged
E02000785,E02000785,unchanged
E02000786,E02000786,unchanged
E02000787,E02000787,unchanged
E02000788,E02000788,unchanged
E02000789,E02000789,unchanged
E02000790,E02000790,unchanged
E02000791,E02000791,unchanged
E02000792,E02000792,unchanged
E02000793,E02000793,unchanged
E02000794,E02000794,unchanged
E02000795,E02000795,unchanged
E02000796,E02000796,unchanged
E02000797,E02000797,unchanged
E02000798,E02000798,unchanged
E02000799,E02000799,unchanged
E02000800,E02000800,unchanged
E02000801,E02000801,unchanged
E02000802,E02000802,unchanged
E02000803,E02000803,unchanged
E02000804,E02000804,unchanged
E02000805,E02000805,unchanged
E02000806,E02000806,unchanged
E02000807,E02000807,unchanged
E02000808,E02000808,unchanged
E02000810,E02000810,unchanged
E02000812,E02000812,unchanged
E02000813,E02000813,unchanged
E02000814,E02000814,unchanged
E02000815,E02000815,unchanged
E02000816,E02000816,unchanged
E02000817,E02000817,unchanged
E02000818,E02000818,unchanged
E02000819,E02000819,unchanged
E02000820,E02000820,unchanged
E02000821,E02000821,unchanged
E02000822,E02000822,unchanged
E02000823,E02000823,unchanged
E02000824,E02000824,unchanged
E02000825,E02000825,unchanged
E02000826,E02000826,unchanged
E02000827,E02000827,unchanged
E02000828,E02000828,unchanged
E02000829,E02000829,unchanged
E02000830,E02000830,unchanged
E02000831,E02000831,unchanged
E02000832,E02000832,unchanged
E02000833,E02000833,unchanged
E02000834,E02000834,unchanged
E02000835,E02000835,unchanged
E02000836,E02000836,unchanged
E02000837,E02000837,unchanged
E02000838,E02000838,unchanged
E02000839,E02000839,unchanged
E02000840,E02000840,unchanged
E02000841,E02000841,unchanged
E02000842,E02000842,unchanged
E02000843,E02000843,unchanged
E02000844,E02000844,unchanged
E02000845,E02000845,unchanged
E02000846,E02000846,unchanged
E02000847,E02000847,unchanged
E02000848,E02000848,unchanged
E02000849,E02000849,unchanged
E02000850,E02000850,unchanged
E02000851,E02000851,unchanged
E02000852,E02000852,unchanged
E02000853,E02000853,unchanged
E02000854,E02000854,unchanged
E02000855,E02000855,unchanged
E02000856,E02000856,unchanged
E02000857,E02000857,unchanged
E02000858,E02000858,unchanged
E02000859,E02000859,unchanged
E02000860,E02000860,unchanged
E02000861,E02000861,unchanged
E02000863,E02000863,unchanged
E02000864,E02000864,unchanged
E02000865,E02000865,unchanged
E02000866,E02000866,unchanged
E02000867,E02000867,unchanged
E02000868,E02000868,unchanged
E02000869,E02000869,unchanged
E02000870,E02000870,unchanged
E02000871,E02000871,unchanged
E02000872,E02000872,unchanged
E02000873,E02000873,unchanged
E02000874,E02000874,unchanged
E02000875,E02000875,unchanged
E02000876,E02000876,unchanged
E02000877,E02000877,unchanged
E02000878,E02000878,unchanged
E02000879,E02000879,unchanged
E02000880,E02000880,unchanged
E02000881,E02000881,unchanged
E02000882,E02000882,unchanged
E02000883,E02000883,unchanged
E02000884,E02000884,unchanged
E02000885,E02000885,unchanged
E02000886,E02000886,unchanged
E02000887,E02000887,unchanged
E02000888,E02000888,unchanged
E02000889,E02000889,unchanged
E02000890,E02000890,unchanged
E02000893,E02000893,unchanged
E02000894,E02000894,unchanged
E02000895,E02000895,unchanged
E02000896,E02000896,unchanged
E02000897,E02000897,unchanged
E02000898,E02000898,unchanged
E02000899,E02000899,unchanged
E02000900,E02000900,unchanged
E02000901,E02000901,unchanged
E02000902,E02000902,unchanged
E02000903,E02000903,unchanged
E02000904,E02000904,unchanged
E02000905,E02000905,unchanged
E02000906,E02000906,unchanged
E02000907,E02000907,unchanged
E02000908,E02000908,unchanged
E02000909,E02000909,unchanged
E02000910,E02000910,unchanged
E02000911,E02000911,unchanged
E02000912,E02000912,unchanged
E02000913,E02000913,unchanged
E02000914,E02000914,unchanged
E02000915,E02000915,unchanged
E02000916,E02000916,unchanged
E02000917,E02000917,unchanged
E02000918,E02000918,unchanged
E02000919,E02000919,unchanged
E02000920,E02000920,unchanged
E02000921,E02000921,unchanged
E02000922,E02000922,unchanged
E02000923,E02000923,unchanged
E02000925,E02000925,unchanged
E02000926,E02000926,unchanged
E02000927,E02000927,unchanged
E02000928,E02000928,unchanged
E02000929,E02000929,unchanged
E02000930,E02000930,unchanged
E02000931,E02000931,unchanged
E02000932,E02000932,unchanged
E02000933,E02000933,unchanged
E02000934,E02000934,unchanged
E02000935,E02000935,unchanged
E02000936,E02000936,unchanged
E02000937,E02000937,unchanged
E02000938,E02000938,unchanged
E02000939,E02000939,unchanged
E02000940,E02000940,unchanged
E02000941,E02000941,unchanged
E02000942,E02000942,unchanged
E02000943,E02000943,unchanged
E02000944,E02000944,unchanged
E02000945,E02000945,unchanged
E02000946,E02000946,unchanged
E02000947,E02000947,unchanged
E02000948,E02000948,unchanged
E02000949,E02000949,unchanged
E02000950,E02000950,unchanged
E02000951,E02000951,unchanged
E02000952,E02000952,unchanged
E02000953,E02000953,unchanged
E02000954,E02000954,unchanged
E02000955,E02000955,unchanged
E02000956,E02000956,unchanged
E02000957,E02000957,unchanged
E02000958,E02000958,unchanged
E02000959,E02000959,unchanged
E02000960,E02000960,unchanged
E02000961,E02000961,unchanged
E02000962,E02000962,unchanged
E02000963,E02000963,unchanged
E02000964,E02000964,unchanged
E02000965,E02000965,unchanged
E02000966,E02000966,unchanged
E02000967,E02000967,unchanged
E02000968,E02000968,unchanged
E02000969,E02000969,unchanged
E02000970,E02000970,unchanged
E02000971,E02000971,unchanged
E02000972,E02000972,unchanged
E02000973,E02000973,unchanged
E02000974,E02000974,unchanged
E02000975,E02000975,unchanged
E02000976,E02000976,unchanged
E02000977,E02000977,unchanged
E02000978,E02000978,unchanged
E02000979,E02000979,unchanged
