msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_National,IMD_Pctile_Change,Phase2_Extreme,Dom_A_11,CDS_A_11,Typ_A_11,Dom_B_11,CDS_B_11,Typ_B_11,Dom_C_11,CDS_C_11,Typ_C_11,switch_A2B_11,switch_B2C_11,switch_A2C_11,Dom_A_21,CDS_A_21,Typ_A_21,Dom_B_21,CDS_B_21,Typ_B_21,Dom_C_21,CDS_C_21,Typ_C_21,switch_A2B_21,switch_B2C_21,switch_A2C_21
E02000813,Southwark,4,3,-0.0447609359104781,False,0.4831395348837209,0.8713272543059777,Symmetric,0.4747847478474785,0.8237082066869301,Counter-led,0.4849679645145391,0.8535969709718132,Symmetric,True,True,False,0.4586501901140684,0.8825503355704698,Counter-led,0.4539181862986693,0.8510906040268457,Counter-led,0.4413669064748201,0.886762360446571,Counter-led,False,False,False
E02000814,Southwark,6,4,-0.0233977619532044,False,0.4913710450623202,0.9049891540130152,Symmetric,0.49171539961013644,0.8902386117136659,Symmetric,0.5396373977959474,0.9174820613176777,Cascade-led,False,True,True,0.460573476702509,0.9087947882736156,Counter-led,0.45871559633027525,0.8876221498371335,Counter-led,0.4175416924027177,0.9214570290267502,Counter-led,False,False,False
E02000815,Southwark,6,5,-0.2807731434384537,True,0.6121939030484758,0.8913140311804009,Cascade-led,0.6188466947960619,0.9501113585746103,Cascade-led,0.675783855903936,0.9639871382636656,Cascade-led,False,False,False,0.5217576791808873,0.8489677653024267,Cascade-led,0.5398865784499055,0.9579862368706991,Cascade-led,0.5466631908237748,0.9706477732793523,Cascade-led,False,False,False
E02000816,Southwark,3,2,-0.0142421159715157,False,0.4630421502748931,0.8322318251143874,Counter-led,0.49281487743026203,0.6014234875444839,Lateral,0.4934123847167325,0.6594265855777585,Lateral,True,False,True,0.5020126509488212,0.8621715418939019,Symmetric,0.5003927729772192,0.6311353495290035,Lateral,0.4554655870445344,0.7264705882352941,Lateral,True,False,True
E02000817,Southwark,2,2,-0.0671414038657171,False,0.4853747714808044,0.781987133666905,Lateral,0.47766749379652607,0.5761258041458185,Lateral,0.4690873405299313,0.6321339950372209,Lateral,False,False,False,0.5154142581888247,0.8257756563245824,Symmetric,0.5030229746070133,0.6579156722354813,Lateral,0.4589490968801313,0.7390776699029126,Lateral,True,False,True
E02000818,Southwark,2,2,-0.0661241098677517,False,0.5034199726402189,0.7822364901016586,Lateral,0.49606299212598426,0.6115569823434992,Lateral,0.5134123518402994,0.6882782310004294,Lateral,False,False,False,0.522466039707419,0.808277027027027,Cascade-led,0.5268199233716475,0.6613175675675675,Lateral,0.5086461408688318,0.7472423573904822,Lateral,True,False,True
E02000819,Southwark,2,2,0.0132248219735503,False,0.5003717472118959,0.7530795072788354,Lateral,0.5204841713221602,0.6013437849944009,Lateral,0.5185685347738015,0.6753305973552212,Lateral,False,False,False,0.4381933438985737,0.7332945961650204,Lateral,0.42487046632124353,0.5607205113306217,Lateral,0.4211576846307385,0.6653386454183267,Lateral,False,False,False
E02000820,Southwark,4,3,-0.0630722278738555,False,0.5283819628647215,0.8575978161965423,Cascade-led,0.5312679288582903,0.7929936305732485,Cascade-led,0.568739054290718,0.8338809784592918,Cascade-led,False,False,False,0.5233545647558386,0.8555858310626703,Cascade-led,0.5347624565469293,0.7838328792007266,Cascade-led,0.514608492403584,0.8435754189944135,Symmetric,False,True,True
E02000821,Southwark,2,2,-0.1515768056968464,False,0.5185185185185185,0.6710982658959538,Lateral,0.5207877461706784,0.5283236994219653,Lateral,0.5061425061425061,0.5994108983799705,Lateral,False,False,False,0.4537885095753539,0.6762387387387387,Lateral,0.47186147186147187,0.5202702702702703,Lateral,0.4375490966221524,0.5990588235294118,Lateral,False,False,False
E02000822,Southwark,2,2,-0.0762970498474059,False,0.485838779956427,0.7094281298299846,Lateral,0.4323017408123791,0.532715095311695,Lateral,0.4469190794357832,0.5976042590949423,Lateral,False,False,False,0.4605128205128205,0.720620842572062,Lateral,0.4574468085106383,0.5558019216555802,Lateral,0.4086294416243655,0.6629276500280427,Lateral,False,False,False
