msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21
E02000080,Bexley,9,9,12.142843166666667,11.516166666666665,-0.6266765000000021,135.0,246.0,579,369,948,381.0,35.03164556962025,-111.0,23.316062176165804,83.0,268.0,495.0,481.0,976.0,351.0,22.790983606557376,-185.0,16.767676767676768
E02000081,Bexley,8,7,14.712399,16.2214,1.5090009999999996,135.0,108.0,391,291,682,243.0,21.378299120234605,27.0,34.52685421994885,155.0,141.0,488.0,367.0,855.0,296.0,25.56140350877193,14.0,31.762295081967213
E02000082,Bexley,10,10,9.344359166666667,8.834666666666667,-0.5096924999999999,0.0,287.0,374,374,748,287.0,0.0,-287.0,0.0,0.0,300.0,555.0,406.0,961.0,300.0,0.0,-300.0,0.0
E02000083,Bexley,6,5,21.591526666666667,21.50583333333333,-0.08569333333333518,247.0,121.0,462,311,773,368.0,38.66364812419146,126.0,53.46320346320347,240.0,133.0,584.0,435.0,1019.0,373.0,31.324828263002946,107.0,41.0958904109589
E02000084,Bexley,10,10,8.798323,9.082857142857142,0.28453414285714196,0.0,317.0,490,418,908,317.0,0.0,-317.0,0.0,0.0,295.0,602.0,496.0,1098.0,295.0,0.0,-295.0,0.0
E02000085,Bexley,9,9,11.5616652,11.478200000000001,-0.08346519999999913,99.0,198.0,424,392,816,297.0,24.022058823529413,-99.0,23.349056603773587,118.0,187.0,533.0,401.0,934.0,305.0,23.62526766595289,-69.0,22.138836772983115
E02000086,Bexley,10,10,7.0943888,7.5032,0.4088111999999997,0.0,217.0,364,318,682,217.0,0.0,-217.0,0.0,0.0,263.0,398.0,403.0,801.0,263.0,0.0,-263.0,0.0
E02000087,Bexley,10,10,6.923342600000001,7.698599999999999,0.7752573999999983,0.0,212.0,377,280,657,212.0,0.0,-212.0,0.0,0.0,191.0,481.0,306.0,787.0,191.0,0.0,-191.0,0.0
E02000088,Bexley,10,10,9.4688282,8.983,-0.48582820000000027,0.0,279.0,376,346,722,279.0,0.0,-279.0,0.0,0.0,218.0,403.0,368.0,771.0,218.0,0.0,-218.0,0.0
E02000089,Bexley,10,10,7.3393982,7.921200000000001,0.5818018000000009,0.0,256.0,376,356,732,256.0,0.0,-256.0,0.0,0.0,172.0,418.0,304.0,722.0,172.0,0.0,-172.0,0.0
E02000090,Bexley,9,9,11.8468238,11.2852,-0.5616237999999996,158.0,266.0,688,533,1221,424.0,34.42096642096642,-108.0,22.96511627906977,148.0,302.0,807.0,767.0,1574.0,450.0,28.396442185514612,-154.0,18.339529120198264
E02000091,Bexley,9,8,12.406530833333333,12.473333333333334,0.06680250000000143,154.0,274.0,684,493,1177,428.0,35.850467289719624,-120.0,22.514619883040936,157.0,252.0,770.0,605.0,1375.0,409.0,28.773818181818182,-95.0,20.38961038961039
E02000092,Bexley,4,2,30.931887500000002,30.708,-0.22388750000000357,241.0,38.0,372,230,602,279.0,15.212624584717608,203.0,64.78494623655914,257.0,30.0,371.0,230.0,601.0,287.0,12.828618968386023,227.0,69.2722371967655
E02000093,Brent,6,6,21.03952,18.438666666666666,-2.6008533333333332,268.0,252.0,719,779,1498,520.0,45.08411214953271,16.0,37.27399165507649,407.0,251.0,1062.0,848.0,1910.0,658.0,53.485340314136124,156.0,38.32391713747646
E02000094,Brent,6,6,23.73725,19.259,-4.478249999999999,146.0,287.0,583,644,1227,433.0,34.14995925020375,-141.0,25.04288164665523,200.0,278.0,775.0,724.0,1499.0,478.0,37.091394262841895,-78.0,25.806451612903224
E02000095,Brent,5,6,25.5073625,19.331200000000003,-6.176162499999997,359.0,207.0,594,789,1383,566.0,53.73318872017354,152.0,60.437710437710436,384.0,149.0,696.0,845.0,1541.0,533.0,37.129136924075276,235.0,55.172413793103445
E02000096,Brent,8,9,14.772827999999999,11.096,-3.6768279999999987,88.0,402.0,526,637,1163,490.0,30.417884780739467,-314.0,16.730038022813687,57.0,234.0,424.0,438.0,862.0,291.0,15.473317865429234,-177.0,13.443396226415095
E02000097,Brent,6,6,23.270908,19.3886,-3.8823079999999983,152.0,346.0,505,726,1231,498.0,42.722989439480095,-194.0,30.099009900990097,139.0,266.0,675.0,648.0,1323.0,405.0,27.947089947089946,-127.0,20.59259259259259
E02000098,Brent,5,5,24.955602,22.6458,-2.3098019999999977,281.0,223.0,581,865,1446,504.0,43.33540802213001,58.0,48.364888123924274,251.0,168.0,548.0,758.0,1306.0,419.0,32.28790199081164,83.0,45.8029197080292
E02000099,Brent,6,7,22.550406000000002,17.278,-5.272406000000004,213.0,414.0,766,802,1568,627.0,56.23852040816327,-201.0,27.806788511749346,263.0,274.0,929.0,770.0,1699.0,537.0,42.41436138905238,-11.0,28.31001076426265
E02000100,Brent,8,9,16.73385,11.792399999999999,-4.9414500000000015,73.0,611.0,502,806,1308,684.0,34.100152905198776,-538.0,14.54183266932271,63.0,633.0,550.0,910.0,1460.0,696.0,27.314383561643837,-570.0,11.454545454545455
E02000101,Brent,3,4,34.598361999999995,26.567,-8.031361999999994,585.0,75.0,737,779,1516,660.0,28.941292875989447,510.0,79.37584803256445,497.0,83.0,718.0,782.0,1500.0,580.0,27.500666666666667,414.0,69.22005571030641
