msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000888,Tower Hamlets,1,5,45.03387204618443,23.273108407310705,3801.7988989142073,12686.03498694517,0.11704325161363854,0.3862512174809758,0.26920796586733725,-21.760763638873723,616.0,0.0,856,992,1848,616.0,0.0,616.0,71.96261682242991,662.0,0.0,1069.0,1287.0,2356.0,662.0,0.0,662.0,61.927034611786716,-539.0,206.0,745.0
E02000889,Tower Hamlets,2,5,36.87892496950444,21.140198983481575,7542.266709021601,14908.159085133419,0.2321983470544179,0.4539081441095305,0.22170979705511262,-15.738725986022864,397.0,257.0,743,958,1701,654.0,59.98177542621987,140.0,53.43203230148048,648.0,306.0,1473.0,1252.0,2725.0,954.0,72.7662385321101,342.0,43.9918533604888,-154.0,399.0,553.0
E02000890,Tower Hamlets,8,9,15.084356898238749,9.304658349641226,18241.24184605349,25397.577788649705,0.5615800088065233,0.7732790704131562,0.211699061606633,-5.779698548597523,75.0,563.0,624,701,1325,638.0,31.867924528301888,-488.0,12.01923076923077,65.0,531.0,815.0,755.0,1570.0,596.0,21.984076433121018,-466.0,7.975460122699387,-567.0,25.0,592.0
E02000891,Tower Hamlets,2,6,41.226669249368456,19.257686405023552,5416.905930470348,15765.966216640503,0.1667663915544101,0.48002576472538366,0.3132593731709736,-21.968982844344904,978.0,338.0,1718,1571,3289,1316.0,100.50592885375494,640.0,56.92665890570431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02000893,Tower Hamlets,4,6,28.600058476615303,20.859482157339826,10558.41808596918,15035.201540957016,0.3250544327925984,0.45777620085729553,0.13272176806469715,-7.740576319275476,204.0,404.0,669,798,1467,608.0,56.1799591002045,-200.0,30.493273542600896,253.0,334.0,814.0,884.0,1698.0,587.0,49.76560659599529,-81.0,31.08108108108108,-232.0,173.0,405.0
E02000894,Tower Hamlets,6,8,21.903551801791323,13.132534530020337,15136.168779806909,21696.96675214431,0.46598635489831014,0.6606067090532307,0.19462035415492057,-8.771017271770987,236.0,952.0,1194,1422,2616,1188.0,85.88379204892966,-716.0,19.765494137353436,193.0,840.0,1684.0,1561.0,3245.0,1033.0,49.95993836671803,-647.0,11.460807600950119,-915.0,62.0,977.0
E02000895,Waltham Forest,4,5,28.64242441129916,23.47487130159503,9262.885669061245,12424.333982710337,0.2851698069411134,0.37828321710846236,0.09311341016734898,-5.16755310970413,100.0,122.0,373,251,624,222.0,19.55128205128205,-22.0,26.80965147453083,127.0,137.0,448.0,343.0,791.0,264.0,21.996207332490517,-10.0,28.348214285714285,-30.0,126.0,156.0
E02000896,Waltham Forest,7,8,21.052938998583414,14.95624986378991,13567.163887980822,19283.22392938869,0.4176825284151475,0.587115574515549,0.16943304610040144,-6.096689134793504,67.0,590.0,543,721,1264,657.0,31.27373417721519,-523.0,12.338858195211786,68.0,258.0,613.0,425.0,1038.0,326.0,16.90173410404624,-190.0,11.092985318107667,-213.0,55.0,268.0
E02000897,Waltham Forest,2,3,36.36855788056894,28.00218843305513,6978.935464911249,10608.070295051135,0.2148554727206222,0.3229835067303353,0.10812803400971313,-8.366369447513812,296.0,36.0,448,331,779,332.0,13.679075738125801,260.0,66.07142857142857,274.0,21.0,421.0,342.0,763.0,295.0,7.541284403669724,253.0,65.08313539192399,212.0,264.0,52.0
E02000898,Waltham Forest,4,4,31.443735643910973,24.390771442860714,8361.09952488122,11772.781195298825,0.2574071647337362,0.3584454145444777,0.1010382498107415,-7.0529642010502585,138.0,137.0,476,318,794,275.0,23.811083123425693,1.0,28.991596638655466,169.0,132.0,494.0,318.0,812.0,301.0,27.472906403940886,37.0,34.21052631578947,124.0,224.0,100.0
E02000899,Waltham Forest,5,6,24.180531400236124,20.386142030696575,11754.05064935065,14315.183353010625,0.3618635136183317,0.4358538348864519,0.07399032126812022,-3.794389369539548,66.0,319.0,456,446,902,385.0,23.341463414634145,-253.0,14.473684210526317,79.0,237.0,494.0,394.0,888.0,316.0,21.08445945945946,-158.0,15.991902834008098,-167.0,59.0,226.0
E02000900,Waltham Forest,3,3,34.47838811065197,27.386538108356287,7267.998507805326,10380.667240587694,0.22375464896882352,0.3160597747103792,0.0923051257415557,-7.091850002295683,200.0,126.0,512,464,976,326.0,25.81967213114754,74.0,39.0625,150.0,127.0,483.0,479.0,962.0,277.0,19.802494802494802,23.0,31.05590062111801,157.0,259.0,102.0
E02000901,Waltham Forest,6,8,22.15726099324787,15.181979939328704,13204.742929836579,19209.137488991095,0.4065249347280518,0.5848598675249997,0.17833493279694795,-6.975281053919167,73.0,273.0,525,389,914,346.0,21.804157549234137,-200.0,13.904761904761905,84.0,324.0,634.0,547.0,1181.0,408.0,23.044877222692634,-240.0,13.249211356466878,-340.0,28.0,368.0
E02000902,Waltham Forest,3,4,32.878475915637864,24.629003657978966,7708.970050297211,12036.532807498857,0.23733052306807498,0.36647584969854025,0.12914532663046527,-8.249472257658898,226.0,160.0,628,530,1158,386.0,31.226252158894646,66.0,35.98726114649681,206.0,164.0,609.0,645.0,1254.0,370.0,26.940988835725676,42.0,33.825944170771756,-20.0,214.0,234.0
E02000903,Waltham Forest,1,1,45.57503737966175,35.59168159150043,3342.008347788378,6055.806808326106,0.10288801021453046,0.1843809160981033,0.08149290588357284,-9.983355788161319,600.0,0.0,715,711,1426,600.0,0.0,600.0,83.91608391608392,516.0,0.0,653.0,585.0,1238.0,516.0,0.0,516.0,79.0199081163859,542.0,542.0,0.0
E02000904,Waltham Forest,4,6,30.913130626810336,20.252925153516394,7886.8046576294755,14230.641756459274,0.24280538937348303,0.43327980016012896,0.19047441078664593,-10.660205473293942,116.0,585.0,661,793,1454,701.0,46.671251719394775,-469.0,17.549167927382754,105.0,347.0,655.0,647.0,1302.0,452.0,27.983870967741936,-242.0,16.030534351145036,-339.0,66.0,405.0
E02000905,Waltham Forest,3,5,35.00286225081984,21.851602007353673,6568.664116068767,13354.405644440028,0.20222474342924593,0.40660107308610494,0.204376329656859,-13.151260243466165,285.0,349.0,1093,880,1973,634.0,50.41307653319817,-64.0,26.07502287282708,226.0,279.0,795.0,799.0,1594.0,505.0,39.55708908406525,-53.0,28.427672955974842,-305.0,149.0,454.0
