msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000103,Brent,4,-0.1038696537678207,Counter-led,0.4708423326133909,0.8949742268041238,concordant,Counter-led,0.4252958579881656,0.8439450686641697,concordant
E02000104,Brent,6,-0.1364562118126273,Counter-led,0.4779116465863454,0.8184059161873459,concordant,Lateral,0.4223669923995657,0.7831632653061225,concordant
E02000105,Brent,5,0.0285132382892057,Lateral,0.4708056171470806,0.7083769633507854,concordant,Lateral,0.5307308970099668,0.7620253164556962,concordant
E02000106,Brent,3,-0.1710794297352342,Counter-led,0.4403066812705367,0.8920371275036639,concordant,Counter-led,0.4117352056168505,0.9096715328467152,concordant
E02000107,Brent,4,0.0132382892057026,Symmetric,0.4986238532110091,0.8002936857562408,concordant,Counter-led,0.4767609008145663,0.8155529503712388,concordant
E02000108,Brent,5,0.0723014256619144,Lateral,0.4867967853042479,0.6648854961832061,concordant,Lateral,0.4975550122249388,0.7443130118289354,concordant
E02000109,Brent,6,-0.0631364562118126,Counter-led,0.3864042933810375,0.8835616438356164,concordant,Counter-led,0.4590074033452152,0.8675071360608944,concordant
E02000110,Brent,5,0.060081466395112,Counter-led,0.4708680142687277,0.9146275149537793,concordant,Symmetric,0.496080627099664,0.918724279835391,concordant
E02000111,Brent,5,0.020366598778004,Lateral,0.3958677685950413,0.6950028719126938,concordant,Lateral,0.4362532523850824,0.597099948213361,concordant
E02000112,Brent,5,-0.044806517311609,Lateral,0.4576023391812865,0.7257294429708223,divergent,Lateral,0.4633165829145728,0.7436472346786248,concordant
E02000113,Brent,1,-0.0173116089613034,Lateral,0.5138888888888888,0.7659574468085106,concordant,Counter-led,0.4293527803099362,0.8603921568627451,concordant
E02000114,Brent,4,0.0682281059063136,Symmetric,0.5113576333861596,0.8072494669509594,concordant,Symmetric,0.4965643609711406,0.8444874274661509,concordant
E02000115,Brent,4,0.030549898167006,Symmetric,0.4873864783047427,0.8132950348789495,concordant,Lateral,0.4500306560392397,0.7845117845117845,concordant
E02000116,Brent,1,0.0030549898167006,Symmetric,0.5181538461538462,0.8675920982381207,concordant,Counter-led,0.4715025906735751,0.8568257491675916,concordant
E02000117,Brent,1,-0.0376782077393075,Cascade-led,0.5331870543060888,0.8215412347904462,concordant,Counter-led,0.4049586776859504,0.8411122144985105,concordant
E02000118,Brent,5,0.0081466395112016,Lateral,0.4562920268972142,0.7043301759133965,concordant,Lateral,0.4393013100436681,0.6755162241887905,concordant
E02000119,Brent,1,-0.0010183299389002,Lateral,0.5518358531317494,0.7602627257799671,concordant,Cascade-led,0.5466970387243736,0.8079754601226994,concordant
E02000120,Brent,3,0.0794297352342158,Symmetric,0.5030172413793104,0.8985282726568552,concordant,Counter-led,0.4748743718592965,0.8963963963963963,concordant
E02000121,Brent,6,-0.0865580448065173,Symmetric,0.4916241806263656,0.921476510067114,concordant,Counter-led,0.4790457769181173,0.8965317919075144,concordant
E02000122,Brent,6,0.0325865580448065,Symmetric,0.5007032348804501,0.9057324840764333,concordant,Symmetric,0.4982794218857536,0.9213696892834496,concordant
E02000123,Brent,2,-0.0448065173116089,Symmetric,0.5042971147943524,0.9416184971098266,concordant,Counter-led,0.420997920997921,0.941906005221932,concordant
E02000124,Brent,4,0.1313645621181263,Symmetric,0.4956837800999545,0.8875,concordant,Counter-led,0.4602933737986849,0.8917456021650879,concordant
E02000125,Brent,5,0.1171079429735234,Symmetric,0.4900243309002433,0.9117125110913932,concordant,Cascade-led,0.5299145299145299,0.908385093167702,concordant
E02000126,Brent,1,0.0386965376782077,Cascade-led,0.5330948121645797,0.86,concordant,Counter-led,0.3931095406360424,0.844776119402985,concordant
E02000127,Bromley,4,-0.130346232179226,Counter-led,0.4736842105263157,0.9341527655838456,concordant,Counter-led,0.4633333333333333,0.907258064516129,concordant
E02000128,Bromley,8,0.015274949083503,Symmetric,0.4911242603550296,0.8970276008492569,concordant,Counter-led,0.3965968586387434,0.9328449328449328,divergent
E02000130,Bromley,7,-0.0152749490835031,Counter-led,0.3820047355958958,0.894774011299435,concordant,Counter-led,0.3839662447257383,0.9193173002327386,concordant
E02000131,Bromley,4,0.060081466395112,Symmetric,0.4833333333333333,0.8811748998664887,concordant,Symmetric,0.4884816753926702,0.8830328247803976,concordant
E02000132,Bromley,8,-0.0427698574338085,Counter-led,0.4108723135271808,0.8808463251670379,divergent,Counter-led,0.4132817537072856,0.8986095017381228,concordant
E02000133,Bromley,10,0.0071283095723014,Lateral,0.4316479400749063,0.7700072098053352,concordant,Counter-led,0.432509505703422,0.7993920972644377,concordant
E02000134,Bromley,8,-0.0376782077393075,Counter-led,0.4148067501360915,0.9031465093411996,divergent,Counter-led,0.4445048966267682,0.919,concordant
E02000135,Bromley,2,-0.0519348268839103,Symmetric,0.5028213166144201,0.9219653179190752,concordant,Symmetric,0.5014005602240896,0.9043698543381888,concordant
E02000136,Bromley,7,-0.0936863543788186,Counter-led,0.4552980132450331,0.945226917057903,concordant,Symmetric,0.4860426929392447,0.935483870967742,concordant
