msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000938,Wandsworth,5,5,26.890927441860466,22.71332051159683,432.0,433.0,0.439918533604888,0.4409368635437882,0.0010183299389002198,-4.177606930263636,579.0,285.0,1089,884,1973,864.0,83.63659401926002,294.0,53.168044077134994,498.0,284.0,913,918,1831,782.0,77.24303659202621,214.0,54.54545454545454,490.0,433.0,923.0,107.53674607197162,57.0,55.42986425339367,533.0,332.0,865.0,96.64445658110323,201.0,58.06100217864923,226.0,533.0,307.0
E02000939,Wandsworth,9,10,10.652448544929719,7.413664436062781,877.0,940.0,0.8930753564154786,0.9572301425661914,0.0641547861507128,-3.2387841088669376,31.0,787.0,959,906,1865,818.0,13.081501340482573,-756.0,3.232533889468196,26.0,740.0,713,840,1553,766.0,12.388924661944623,-714.0,3.6465638148667603,32.0,821.0,853.0,14.08686327077748,-789.0,3.532008830022075,24.0,604.0,628.0,9.33419188667096,-580.0,2.857142857142857,-739.0,0.0,739.0
E02000940,Wandsworth,5,5,25.606235633694958,21.52855133848899,459.0,474.0,0.46741344195519346,0.48268839103869654,0.015274949083503075,-4.077684295205966,643.0,216.0,982,957,1939,859.0,71.62867457452295,427.0,65.4786150712831,711.0,275.0,1237,1082,2319,986.0,84.3143596377749,436.0,57.47776879547292,660.0,238.0,898.0,81.01083032490975,422.0,68.96551724137932,718.0,370.0,1088.0,114.55799913755929,348.0,66.35859519408503,511.0,768.0,257.0
E02000941,Wandsworth,8,8,17.150435476310232,12.460746739876457,699.0,779.0,0.7118126272912424,0.7932790224032586,0.08146639511201625,-4.689688736433775,223.0,882.0,1194,1280,2474,1105.0,79.50121261115602,-659.0,18.67671691792295,213.0,768.0,1186,1232,2418,981.0,67.65260545905707,-555.0,17.959527824620576,253.0,810.0,1063.0,82.83346806790622,-557.0,19.765625,274.0,765.0,1039.0,86.68734491315136,-491.0,22.24025974025974,-219.0,438.0,657.0
E02000942,Wandsworth,9,10,11.5323768622866,8.842615540396503,852.0,900.0,0.8676171079429735,0.9164969450101833,0.048879837067209775,-2.6897613218900975,95.0,707.0,1016,1048,2064,802.0,32.54118217054263,-612.0,9.350393700787402,77.0,751.0,1079,1041,2120,828.0,27.27688679245283,-674.0,7.136237256719184,137.0,736.0,873.0,48.85271317829457,-599.0,13.072519083969466,101.0,832.0,933.0,39.637735849056604,-731.0,9.702209414024976,-860.0,0.0,860.0
E02000943,Wandsworth,8,9,16.44269085455844,12.187672047866336,716.0,786.0,0.7291242362525459,0.8004073319755601,0.07128309572301428,-4.255018806692103,163.0,971.0,1218,1321,2539,1134.0,62.33674675068925,-808.0,13.382594417077176,155.0,1159.0,1460,1585,3045,1314.0,58.99671592775041,-1004.0,10.616438356164384,158.0,900.0,1058.0,56.00630169358015,-742.0,11.960635881907645,193.0,1130.0,1323.0,71.6223316912972,-937.0,12.176656151419559,-1110.0,135.0,1245.0
E02000944,Wandsworth,4,4,29.611998907854566,25.05396621715557,372.0,357.0,0.3788187372708758,0.3635437881873727,-0.015274949083503075,-4.558032690698997,607.0,105.0,782,746,1528,712.0,41.71138743455497,502.0,77.62148337595907,525.0,128.0,735,729,1464,653.0,45.90163934426229,397.0,71.42857142857143,598.0,126.0,724.0,49.31151832460733,472.0,80.16085790884718,578.0,155.0,733.0,61.19535519125683,423.0,79.28669410150891,425.0,536.0,111.0
E02000945,Wandsworth,3,3,34.37066355249344,27.481830031152647,245.0,285.0,0.2494908350305499,0.29022403258655805,0.040733197556008155,-6.888833521340793,666.0,72.0,1090,845,1935,738.0,24.781395348837208,594.0,61.100917431192656,520.0,65.0,759,789,1548,585.0,21.834625322997415,455.0,68.51119894598156,610.0,96.0,706.0,30.26356589147287,514.0,72.18934911242604,579.0,77.0,656.0,28.800387596899224,502.0,73.38403041825094,450.0,522.0,72.0
E02000946,Wandsworth,6,7,22.251354621944284,18.02979160475483,551.0,593.0,0.5610997963340122,0.6038696537678208,0.04276985743380857,-4.221563017189453,623.0,287.0,1425,828,2253,910.0,79.3612960497115,336.0,43.719298245614034,524.0,330.0,1255,981,2236,854.0,77.3345259391771,194.0,41.75298804780876,459.0,637.0,1096.0,129.77496671105192,-178.0,55.434782608695656,556.0,535.0,1091.0,133.03220035778176,21.0,56.67686034658511,137.0,521.0,384.0
E02000947,Wandsworth,9,10,11.830082874927955,8.234073716082449,838.0,915.0,0.8533604887983707,0.9317718940936863,0.07841140529531565,-3.596009158845506,112.0,650.0,1127,993,2120,762.0,34.339622641509436,-538.0,9.937888198757763,84.0,724.0,1151,1062,2213,808.0,27.481247175779483,-640.0,7.298001737619461,165.0,831.0,996.0,64.67688679245283,-666.0,16.61631419939577,173.0,926.0,1099.0,72.38951649344781,-753.0,16.290018832391713,-804.0,0.0,804.0
